Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767629' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW138	LONDON-YKS M'WAY BH624	N/A	undefined	9.14	1963	444690	370380	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913904' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW341	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1235	N/A	undefined	22	2006	444677	370503	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913900' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW337	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1235	N/A	undefined	11.68	2006	444677	370503	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224155' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE51	MARKHAM COLLIERY UGBH 18 (A-B)	N/A	undefined	131.44	1981	446365	367650	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530545' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE222	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D97B	N/A	undefined	3	1999	445420	367667	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530228' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE221	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D97A	N/A	undefined	3	1999	445377	367669	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224129' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE25	RAMCROFT COLLIERY 7 UG DOWNBORE	N/A	undefined	26.69	1966	445215	367690	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913881' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE178	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1227	N/A	undefined	11.51	2006	445417	367734	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913893' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE188	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1227	N/A	undefined	21.5	2006	445417	367735	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224124' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE20	RYLAH	N/A	undefined	207.26	1958	446511	367855	not Entered	null
AGS derived graphical log available	SK46NE228	"STOCKLEY WTW, PALTERTON BH1"	N/A	undefined	34.3	2011	445987	367921	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=20190405103004521587
AGS derived graphical log available	SK46NE229	"STOCKLEY WTW, PALTERTON BH2"	N/A	undefined	32.5	2011	445991	367927	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=20190405103004521588
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224173' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE69	TROWELL/BARLBOROUGH (M1) 615B/A	N/A	undefined	15.24	1963	445390	368060	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913894' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE189	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1228	N/A	undefined	22.8	2006	445389	368076	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530546' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE223	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D98A	N/A	undefined	3	1999	445344	368107	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224174' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE70	TROWELL/BARLBOROUGH (M1) 616	N/A	undefined	15.24	1963	445390	368110	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530547' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE224	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D98B	N/A	undefined	3	1999	445382	368111	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511264' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE200	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M31	N/A	undefined	19.7	1999	445343	368124	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224159' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE55	RAMCROFT COLLIERY NO.ZR21	N/A	undefined	27.13	1951	445879	368124	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224103' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/F	RAMCROFT COLLIERY UG/BH 6 DOWN	N/A	undefined	Unknown	1965	445970	368230	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224104' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/H	RAMCROFT COLLIERY UG/BH 6 DOWN	N/A	undefined	28.95	1965	445945	368235	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224094' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE1	DEEPDALE FARM	SK46/14	undefined	71.02	1964	446002	368380	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224148' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE44	MARKHAM COLLIERY UGBH NO.16	N/A	undefined	146.54	1980	445742	368405	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224154' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE50	MARKHAM COLLIERY UGBH 17	N/A	undefined	197.56	1981	445737	368408	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224264' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE149	PINXTON-BARLBORO BHW381	N/A	undefined	6.4	1965	445309	368414	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224100' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/C	RAMCROFT COLLIERY UG/BH 3 DOWN	N/A	undefined	94.66	1963	445164	368430	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224265' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE150	PINXTON-BARLBORO BHW382	N/A	undefined	18.9	1965	445336	368435	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913898' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE193	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1261	N/A	undefined	39.7	2006	445287	368440	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224266' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE151	PINXTON-BARLBORO BHW383	N/A	undefined	24.08	1965	445275	368496	not Entered	null
